VenueName,Altitude,Latitude,Longitude,Stadium-Type,Field-Type
TIAA Bank Field,5,30.324,-81.637,open,grass
Alltel Stadium,5,30.324,-81.637,open,grass
EverBank Field,5,30.324,-81.637,open,grass
Lincoln Financial Field,11,39.300,-75.167,open,grass
Lambeau Field,631,44.501,-88.062,open,grass
Gillette Stadium,264,42.091,-71.264,open,turf
Heinz Field,736,40.447,-80.016,open,grass
Dome at America's Center,466,38.633,-90.189,dome,turf
TWA Dome,466,38.633,-90.189,dome,turf
Edward Jones Dome,466,38.633,-90.189,dome,turf
Los Angeles Memorial Coliseum,140,34.014,-118.288,open,grass
Qualcomm Stadium,53,32.783,-117.120,open,grass
Dignity Health Sports Park,98,33.864,-118.261,open,grass
NRG Stadium,50,29.685,-95.411,dome,turf
Reliant Stadium,50,29.685,-95.411,dome,turf
M&T Bank Stadium,10,39.278,-76.623,open,turf
PSINet Stadium,10,39.278,-76.623,open,turf
MetLife Stadium,10,40.814,-74.074,open,turf
Giants Stadium,10,40.811,-74.068,open,turf
RCA Dome,720,39.763,-86.163,dome,turf
Lucas Oil Stadium,718,39.760,-86.164,dome,turf
Mercedes-Benz Superdome,1,29.951,-90.081,dome,turf
Louisiana Superdome,1,29.951,-90.081,dome,turf
AT&T Stadium,570,32.748,-97.093,dome,turf
Cowboys Stadium,570,32.748,-97.093,dome,turf
Texas Stadium,445,32.84," -96.911",open,turf
Arrowhead Stadium,843,39.049,-94.484,open,grass
Foxboro Stadium,264,42.091,-71.264,open,turf
Veterans Stadium,11,39.907,-75.171,open,turf
CenturyLink Field,104,47.595,-122.332,open,turf
Qwest Field,104,47.595,-122.332,open,turf
Seattle Kingdome,104,47.595,-122.332,dome,turf
Soldier Field,583,41.862,-87.617,open,grass
Mercedes-Benz Stadium,1010,33.755,-84.401,dome,turf
Georgia Dome,1010,33.757,-84.401,dome,turf
Bank of America Stadium,725,35.226,-80.853,open,grass
Ericsson Stadium,725,35.226,-80.853,open,grass
U.S. Bank Stadium,845,44.974,-93.258,dome,turf
TCF Bank Stadium,825,44.976,-93.225,open,turf
Hubert H. Humphrey Metrodome,845,44.974,-93.258,dome,turf
New Era Field,789,42.774,-78.787,open,turf
Nissan Stadium,398,36.166,-86.771,open,grass
Adelphia Coliseum,398,36.166,-86.771,open,grass
The Coliseum,398,36.166,-86.771,open,grass
LP Field,398,36.166,-86.771,open,grass
Ford Field,601,42.340,-83.046,dome,turf
Pontiac Silverdome,899,42.646,-83.254,dome,turf
Hard Rock Stadium,9,25.958,-80.239,open,grass
Dolphin Stadium,9,25.958,-80.239,open,grass
Pro Player Stadium,9,25.958,-80.239,open,grass
RingCentral Coliseum,55,37.752,-122.201,open,grass
Network Associates Coliseum,55,37.752,-122.201,open,grass
FedExField,318,38.908,-76.865,open,grass
Jack Kent Cooke Stadium,318,38.908,-76.865,open,grass
State Farm Stadium,1070,33.528,-112.263,dome,grass
University of Phoenix Stadium,1070,33.528,-112.263,dome,grass
Paul Brown Stadium,485,39.096,-84.515,open,turf
Empower Field at Mile High,5229,39.743,-105.020,open,grass
Invesco Field at Mile High,5229,39.743,-105.020,open,grass
Sports Authority Field at Mile High,5229,39.743,-105.020,open,grass
Mile High Stadium,5229,39.746,-105.022,open,grass
Raymond James Stadium,36,27.976,-82.503,open,grass
Candlestick Park,114,37.714,-122.386,open,grass
3Com Park,114,37.714,-122.386,open,grass
FirstEnergy Stadium,583,41.506,-81.700,open,grass
Levi's Stadium,5,37.403,-121.97,open,grass